Date,Channel,Username,Message,Tag_owner,Cleanest_message,clean_message_duplicates
2021-09-14 17:51:25,greekgodx ,marcfryd,????? you got a whole water bottle,0,????? got whole water bottl,????? got whole water bottle
2021-09-14 17:51:25,greekgodx ,paxt___,BOOBA,0,booba,BOOBA
2021-09-14 17:51:25,greekgodx ,superevilfinn,TWO GIRLS,0,two girl,TWO GIRLS
2021-09-14 17:51:26,greekgodx ,buckslayr91,Dont drown Grek Sadge,0,dont drown grek sadg,Dont drown Grek Sadge
2021-09-14 17:51:26,greekgodx ,zacke24rj,BOOBA,0,booba,BOOBA
2021-09-14 17:51:26,greekgodx ,igbl_,go with the wind,0,go wind,go wind
2021-09-14 17:51:26,greekgodx ,dillydaddlescallywagger,i love when rosh and greek are together,0,love rosh greek togeth,love rosh greek together
2021-09-14 17:51:27,greekgodx ,elongated_musketeer,LULW,0,lulw,LULW
2021-09-14 17:51:27,greekgodx ,olmas973,monkaW GIRLS,0,monkaw girl,monkaW GIRLS
2021-09-14 17:51:27,greekgodx ,rayase_,OMEGALUL,0,omegalul,OMEGALUL
2021-09-14 17:51:27,greekgodx ,fletchdawg,girls DansGame,0,girl dansgam,girls DansGame
2021-09-14 17:51:27,greekgodx ,travinatorog,STREAM SNIPERS IRL monkaW,0,stream sniper irl monkaw,STREAM SNIPERS IRL monkaW
2021-09-14 17:51:27,greekgodx ,ngx_echo,OMEGALUL,0,omegalul,OMEGALUL
2021-09-14 17:51:27,greekgodx ,siosefa,gorilla,0,gorilla,gorilla
2021-09-14 17:51:28,greekgodx ,erixp,BOOBA,0,booba,BOOBA
2021-09-14 17:51:28,greekgodx ,ali0who,LULW,0,lulw,LULW
2021-09-14 17:51:28,greekgodx ,vitacrown,OMEGALUL,0,omegalul,OMEGALUL
2021-09-14 17:51:28,greekgodx ,bangkeys,Irl stream snipers Lmaoo,0,irl stream sniper lmaoo,Irl stream snipers Lmaoo
2021-09-14 17:51:29,greekgodx ,archichnect,BOOBA,0,booba,BOOBA
2021-09-14 17:51:29,greekgodx ,fluxenis,BOOBA,0,booba,BOOBA
2021-09-14 17:51:29,greekgodx ,grazahn1,BOOBA ?,0,booba ?,BOOBA ?
2021-09-14 17:51:29,greekgodx ,paxt___,SPIT GAME,0,spit game,SPIT GAME
2021-09-14 17:51:29,greekgodx ,leeqox,girls greekDitch,0,girl greekditch,girls greekDitch
2021-09-14 17:51:29,greekgodx ,paxu_1989,abord them,0,abord,abord
2021-09-14 17:51:29,greekgodx ,ilikejollibee,BOOBA ?,0,booba ?,BOOBA ?
2021-09-14 17:51:29,greekgodx ,i_am_nab,DansGame GIRLS,0,dansgam girl,DansGame GIRLS
2021-09-14 17:51:29,greekgodx ,dreammistm,TRUEING,0,true,TRUEING
2021-09-14 17:51:29,greekgodx ,sark3585,TRUEING,0,true,TRUEING
2021-09-14 17:51:29,greekgodx ,invert3brat,TRUEING,0,true,TRUEING
2021-09-14 17:51:29,greekgodx ,ahmet_charts,"dont  steer hard, STEER JUST A LITTLE",0,"dont steer hard, steer just a littl","dont steer hard, STEER JUST A LITTLE"
2021-09-14 17:51:30,greekgodx ,betweenwas,OMEGALUL,0,omegalul,OMEGALUL
2021-09-14 17:51:30,greekgodx ,zedykku,LULW,0,lulw,LULW
2021-09-14 17:51:30,greekgodx ,superevilfinn,Two girls BOOBA,0,two girl booba,Two girls BOOBA
2021-09-14 17:51:30,greekgodx ,ant__k,BOOBA,0,booba,BOOBA
2021-09-14 17:51:30,greekgodx ,starkgaryen1,OMEGALUL,0,omegalul,OMEGALUL
2021-09-14 17:51:30,greekgodx ,ammoow,LULW,0,lulw,LULW
2021-09-14 17:51:30,greekgodx ,gianfrishow,BOOBA ?,0,booba ?,BOOBA ?
2021-09-14 17:51:31,greekgodx ,fletchdawg,girls DansGame girls DansGame girls DansGame girls DansGame girls DansGame,0,girl dansgam girl dansgam girl dansgam girl dansgam girl dansgam,girls DansGame
2021-09-14 17:51:31,greekgodx ,jamboxp,EZ,0,ez,EZ
2021-09-14 17:51:31,greekgodx ,darkight1011,lol its two girls,0,lol two girl,lol two girls
2021-09-14 17:51:31,greekgodx ,sirwaddleton,BOOBA,0,booba,BOOBA
2021-09-14 17:51:31,greekgodx ,ali0who,TRUEING,0,true,TRUEING
2021-09-14 17:51:31,greekgodx ,taeroni,OMEGALUL,0,omegalul,OMEGALUL
2021-09-14 17:51:31,greekgodx ,fluxenis,BOOBA hol up,0,booba hol,BOOBA hol
2021-09-14 17:51:31,greekgodx ,alrycath,LULW,0,lulw,LULW
2021-09-14 17:51:31,greekgodx ,elongated_musketeer,BOOBA,0,booba,BOOBA
2021-09-14 17:51:31,greekgodx ,sarah_kittykat,OMEGALUL,0,omegalul,OMEGALUL
2021-09-14 17:51:32,greekgodx ,superpiie,TRUEING,0,true,TRUEING
2021-09-14 17:51:32,greekgodx ,delusionalthoughts,threesome,0,threesom,threesome
2021-09-14 17:51:32,greekgodx ,invincible_vltrm,TWO ? BOOBA,0,two ? booba,TWO ? BOOBA
2021-09-14 17:51:32,greekgodx ,the_pob,Ergh girls,0,ergh girl,Ergh girls
2021-09-14 17:51:32,greekgodx ,ggx_goblin,OMEGALUL,0,omegalul,OMEGALUL
2021-09-14 17:51:32,greekgodx ,weareallhuman,women DansGame,0,women dansgam,women DansGame
2021-09-14 17:51:33,greekgodx ,ant__k,BOOBA 󠀀,0,booba 󠀀,BOOBA 󠀀
2021-09-14 17:51:33,greekgodx ,zedykku,TRUEING,0,true,TRUEING
2021-09-14 17:51:33,greekgodx ,0emmettt,They arent much use,0,they arent much use,They arent much use
2021-09-14 17:51:34,greekgodx ,thah4x0r,ugh girls,0,ugh girl,ugh girls
2021-09-14 17:51:34,greekgodx ,leeqox,girls greekDitch,0,girl greekditch,girls greekDitch
2021-09-14 17:51:34,greekgodx ,paxt___,BOOBA SPIT GAME,0,booba spit game,BOOBA SPIT GAME
2021-09-14 17:51:34,greekgodx ,feelsokayegman,TRUEING,0,true,TRUEING
2021-09-14 17:51:35,greekgodx ,exiledxinsanity,show them your muscles,0,show muscl,show muscles
2021-09-14 17:51:35,greekgodx ,josuke_pog,DansGame GIRLS,0,dansgam girl,DansGame GIRLS
2021-09-14 17:51:35,greekgodx ,superevilfinn,BOOBA DATE,0,booba date,BOOBA DATE
2021-09-14 17:51:35,greekgodx ,fartecho,GET BACK monkaW,0,get back monkaw,GET BACK monkaW
2021-09-14 17:51:35,greekgodx ,elongated_musketeer,GIRLS DansGame,0,girl dansgam,GIRLS DansGame
2021-09-14 17:51:35,greekgodx ,paxu_1989,ABORD THEM,0,abord them,ABORD THEM
2021-09-14 17:51:35,greekgodx ,jamboxp,EZ Go to them EZ Go to them EZ Go to them EZ Go to them EZ Go to them EZ Go to them,0,ez go ez go ez go ez go ez go ez go,EZ Go
2021-09-14 17:51:35,greekgodx ,mangokagaan,BOOBA,0,booba,BOOBA
2021-09-14 17:51:36,greekgodx ,marcfryd,LULW,0,lulw,LULW
2021-09-14 17:51:36,greekgodx ,spike_77,BOOBA,0,booba,BOOBA
2021-09-14 17:51:36,greekgodx ,vloop22,OMEGALUL,0,omegalul,OMEGALUL
2021-09-14 17:51:36,greekgodx ,cmonbruh_420,TRUEING NVM,0,true nvm,TRUEING NVM
2021-09-14 17:51:37,greekgodx ,vinceng97,BOOBA,0,booba,BOOBA
2021-09-14 17:51:37,greekgodx ,sark3585,BOOBA,0,booba,BOOBA
2021-09-14 17:51:37,greekgodx ,paracosmdd,BOOBA,0,booba,BOOBA
2021-09-14 17:51:37,greekgodx ,ilikejollibee,two BOOBA ?,0,two booba ?,two BOOBA ?
