Date,Channel,Username,Message,Tag_owner,Cleanest_message
2023-01-28 22:49:36,sodapoppin ,irndys,Concerned Hes pretending right?,0,pretend
2023-01-28 22:49:39,sodapoppin ,foreigngamer,FeelsDankMan good one,0,good
2023-01-28 22:49:41,sodapoppin ,thenorwegiancarrot,"damn, Gomer Pyle lost some weight",0,lost
2023-01-28 22:49:46,sodapoppin ,alwaysbegaming,Pepega,0,Pepega
2023-01-28 22:50:11,sodapoppin ,romanovskibr,not pretending Sadge,0,pretend Sadge
2023-01-28 22:50:17,sodapoppin ,beefgirl,Sadge,0,Sadge
2023-01-28 22:50:19,sodapoppin ,0verflux,Pepega,0,Pepega
2023-01-28 22:50:22,sodapoppin ,franktizzle,Pepega,0,Pepega
2023-01-28 22:50:23,sodapoppin ,chessmaniaconcrack,NOT THAT THAT THING THAT POWERS IT SHOOT THAT,0,shoot
2023-01-28 22:50:25,sodapoppin ,soudro,Pepega,0,Pepega
2023-01-28 22:50:26,sodapoppin ,spinney,Pepega Clap,0,Pepega Clap
2023-01-28 22:50:30,sodapoppin ,ceabass,not pretending actually retarded FeelsBadMan,0,pretend retard feelsbadman
2023-01-28 22:50:30,sodapoppin ,elillama_,Lacks critical information xdd,0,lack critic
2023-01-28 22:50:32,sodapoppin ,fktardiumleviosa,holy shit it looks good,0,shit good
2023-01-28 22:50:32,sodapoppin ,lisanderspooner,shoot dude,0,shoot
2023-01-28 22:50:34,sodapoppin ,franktizzle,YEP,0,yep
2023-01-28 22:50:35,sodapoppin ,bladecrusher,Pepega,0,Pepega
2023-01-28 22:50:37,sodapoppin ,airgoose1,YEP,0,yep
2023-01-28 22:50:39,sodapoppin ,ceabass,yep,0,yep
2023-01-28 22:50:39,sodapoppin ,soulinger,happy about the remake. been great to watch SeemsGood,0,great seemsgood
2023-01-28 22:50:39,sodapoppin ,thenorwegiancarrot,YEP,0,yep
2023-01-28 22:50:44,sodapoppin ,t3s_0,"no, ur fine",0,fine
2023-01-28 22:50:45,sodapoppin ,soap_deal_er,the most retarded,0,retard
2023-01-28 22:50:47,sodapoppin ,dazespam,God gamer moment,0,god
2023-01-28 22:50:47,sodapoppin ,romanovskibr,very dumb,0,dumb
2023-01-28 22:50:51,sodapoppin ,rr,its ok im sure a lot of us who played this were dumb too,0,ok sure play dumb
2023-01-28 22:50:57,sodapoppin ,cherrynecessary,Dumb an understatement sodaSipping,0,dumb
2023-01-28 22:50:59,sodapoppin ,traviance,the thing giving it power - shoot it lol,0,shoot lol
2023-01-28 22:51:04,sodapoppin ,in34n30815,"""i get it"" doesnt get it LUL",0,LUL
2023-01-28 22:51:11,sodapoppin ,romanovskibr,not pretending Sadge,0,pretend Sadge
2023-01-28 22:51:18,sodapoppin ,0verflux,Pepega,0,Pepega
2023-01-28 22:51:20,sodapoppin ,supmydoot,WHAT IS HE DOING LULW,0,LULW
2023-01-28 22:51:21,sodapoppin ,joshuadim,FeelsDankMan not pretending,0,pretend
2023-01-28 22:51:22,sodapoppin ,ceabass,wtf is he doing HUH,0,wif
2023-01-28 22:51:23,sodapoppin ,turnc0at,huhWhat Sucks it off??,0,suck
2023-01-28 22:51:24,sodapoppin ,un_muerte,yep,0,yep
2023-01-28 22:51:25,sodapoppin ,meyern3,xdd surely,0,sure
2023-01-28 22:51:25,sodapoppin ,thenorwegiancarrot,"warmer, warmer",0,warmer
2023-01-28 22:51:27,sodapoppin ,tureynul,xdd yeah bro,0,yeah
2023-01-28 22:51:28,sodapoppin ,charlygotthesmarly,sucks that metal off,0,suck
2023-01-28 22:51:29,sodapoppin ,oxykittenn,Pepega,0,Pepega
2023-01-28 22:51:29,sodapoppin ,airgoose1,but the beacon has to be on the rock...,0,ha
2023-01-28 22:51:31,sodapoppin ,ceabass,shoot the wheels ff,0,shoot of
2023-01-28 22:51:34,sodapoppin ,halfman__,"it's a mining ship, it mines Sadge",0,Sadge
2023-01-28 22:51:34,sodapoppin ,snoredge,Lamonting suck the metal off,0,suck
2023-01-28 22:51:34,sodapoppin ,lt_sharp,No gun,0,gun
2023-01-28 22:51:34,sodapoppin ,mortr3x,warmer,0,warmer
2023-01-28 22:51:34,sodapoppin ,dancerfool,its a sucker not a gun,0,sucker gun
2023-01-28 22:51:36,sodapoppin ,papuling2,"Streaming since hes 15, brain hasn't developed since Sadge",0,Sadge
2023-01-28 22:51:37,sodapoppin ,elillama_,xdd smartest streamer,0,smartest
2023-01-28 22:51:38,sodapoppin ,death_dono,Pepega my strimer,0,Pepega
2023-01-28 22:51:39,sodapoppin ,tob1erone,Ammo is never used for a puzzle because it could soft lock your game LULW,0,LULW
2023-01-28 22:51:41,sodapoppin ,crystal_zyx,pause that shit and plant beacon!,0,shit
2023-01-28 22:51:42,sodapoppin ,uveins,@sodapoppin if you had listened to the fucking dialogue xdd,1,fuck
2023-01-28 22:51:42,sodapoppin ,ironbullman,idiot xdd,0,idiot
2023-01-28 22:51:43,sodapoppin ,boneweaver99,xdd doing great,0,great
2023-01-28 22:51:44,sodapoppin ,nymphat,everything is gun to KKona,0,gun
2023-01-28 22:51:54,sodapoppin ,aristokrat97,PuzzleTime so hard,0,hard
