,Date,Channel,Username,Message,Tag_owner,Cleanest_message,Scores
36,2023-01-29 00:28:33,xqc ,ernest_029,omegalul,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}"
37,2023-01-29 00:28:34,xqc ,shilts,twitter omegalul,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.25, 'pos': 0.75, 'compound': 0.4588}"
38,2023-01-29 00:28:34,xqc ,brode,another top right incident,0,top,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.2023}"
39,2023-01-29 00:28:34,xqc ,jdxl,omegalul,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}"
40,2023-01-29 00:28:35,xqc ,tvrgeted,no hands ninja,0,hand,"{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.296}"
41,2023-01-29 00:28:35,xqc ,niklas0287,omegalul,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}"
42,2023-01-29 00:28:35,xqc ,garbanzoooooooo,yeah i think,0,yeah,"{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.296}"
43,2023-01-29 00:28:35,xqc ,kiwikoe,omegalul those hands,0,OMEGALUL hand,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.4588}"
44,2023-01-29 00:28:35,xqc ,tz_grim,allowed in this case,0,allow,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
45,2023-01-29 00:28:35,xqc ,amphitryon007,omegalul,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}"
46,2023-01-29 00:28:35,xqc ,chairmanxijinping_,stop cheating,0,stop cheat,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.7003}"
47,2023-01-29 00:28:36,xqc ,lichtyna,omegalul,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}"
48,2023-01-29 00:28:36,xqc ,roboc0p_,forsencd fine by me,0,fine,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.2023}"
49,2023-01-29 00:28:36,xqc ,forsen_is_the_godgamer,lmfaoo  wtf lmfaoo wtf lmfaoo wtf lmfaoo wtf lmfaoo wtf lmfaoo wtf lmfaoo wtf lmfaoo wtf lmfaoo wtf,0,wif,"{'neg': 0.792, 'neu': 0.208, 'pos': 0.0, 'compound': -0.9884}"
50,2023-01-29 00:28:36,xqc ,crane__0,omegalul,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}"
51,2023-01-29 00:28:37,xqc ,nosslinger,nerd its not allowed,0,nerd allow,"{'neg': 0.423, 'neu': 0.577, 'pos': 0.0, 'compound': -0.296}"
52,2023-01-29 00:28:37,xqc ,g_sior,forsencd well done,0,well,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.2732}"
53,2023-01-29 00:28:37,xqc ,dylandominator,omegalul,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}"
54,2023-01-29 00:28:38,xqc ,accidentlyadopted,lul,0,LUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.7184}"
55,2023-01-29 00:28:38,xqc ,gani21,chat pepega,0,Pepega,"{'neg': 0.75, 'neu': 0.25, 'pos': 0.0, 'compound': -0.4588}"
56,2023-01-29 00:28:39,xqc ,scorpyl2,its fine,0,fine,"{'neg': 0.0, 'neu': 0.357, 'pos': 0.643, 'compound': 0.2023}"
57,2023-01-29 00:28:39,xqc ,crioptic,its fine bro,0,fine,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.2023}"
58,2023-01-29 00:28:39,xqc ,wally___rn,chickenbone hands omegalul,0,hand OMEGALUL,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.4588}"
59,2023-01-29 00:28:39,xqc ,aeveluna,omegalul twitter,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.25, 'pos': 0.75, 'compound': 0.4588}"
60,2023-01-29 00:28:39,xqc ,ravpage,fucking sticks omegalul,0,fuck OMEGALUL,"{'neg': 0.0, 'neu': 0.379, 'pos': 0.621, 'compound': 0.507}"
61,2023-01-29 00:28:40,xqc ,granoleb,forsencd thumbs_up looks good to me,0,good,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}"
62,2023-01-29 00:28:40,xqc ,jdfritzle1,caughtin4k cheating,0,cheat,"{'neg': 0.783, 'neu': 0.217, 'pos': 0.0, 'compound': -0.5574}"
63,2023-01-29 00:28:41,xqc ,blkwh,omegalul,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}"
