,Date,Channel,Username,Message,Tag_owner,Cleanest_message,Scores
34,2023-01-28 23:22:16,esfandtv ,3b0ne,hi yt pog,0,pog,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.4588}"
35,2023-01-28 23:22:17,esfandtv ,nicholasw458,frick youtube pog,0,pog,"{'neg': 0.429, 'neu': 0.143, 'pos': 0.429, 'compound': 0.0}"
36,2023-01-28 23:22:18,esfandtv ,willdragons,pog hi youtube,0,pog,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.4588}"
37,2023-01-28 23:22:22,esfandtv ,tebb_e,hi pog type youtube,0,pog,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.4588}"
38,2023-01-28 23:22:33,esfandtv ,jaredclt,dicks youtube,0,dick,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
39,2023-01-28 23:22:40,esfandtv ,juiceboxjam912,"i didn't get notifications from twitch that you went live, thank god for discord tho",0,thank god discord,"{'neg': 0.14, 'neu': 0.622, 'pos': 0.238, 'compound': 0.2263}"
40,2023-01-28 23:22:40,esfandtv ,gillyp01,kreygasm,0,Kreygasm,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6124}"
41,2023-01-28 23:22:43,esfandtv ,azoth83,u also spent an hour missing the enter key,0,miss,"{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.296}"
42,2023-01-28 23:22:43,esfandtv ,god_is_a_cat_girl,"if you setup to turn on/off easily maybe it can be used only at certain times like when it's super windy. i mean, elgato does have stream deck on phone (and it kinda sucks?)",0,certain like super,"{'neg': 0.052, 'neu': 0.689, 'pos': 0.259, 'compound': 0.8268}"
43,2023-01-28 23:23:01,esfandtv ,battlealpaca,is start if stream gone forever i wanted to vod frog recap for my post frick @esfandtv,1,want,"{'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.4588}"
44,2023-01-28 23:23:01,esfandtv ,tebb_e,lul,0,LUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.7184}"
45,2023-01-28 23:23:05,esfandtv ,azoth83,lulw,0,LULW,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}"
46,2023-01-28 23:23:06,esfandtv ,unioneagle7,i remember being scared playing this hack when it eas released on ps3,0,scare play,"{'neg': 0.185, 'neu': 0.701, 'pos': 0.115, 'compound': -0.2732}"
47,2023-01-28 23:23:07,esfandtv ,muckspreads,e for enter lul,0,lug,"{'neg': 0.0, 'neu': 0.375, 'pos': 0.625, 'compound': 0.7184}"
48,2023-01-28 23:23:10,esfandtv ,zellitan,kappa error,0,Kappa error,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.6908}"
