Data,Channel,Username,OriginalMessage,Message
2023-01-29 00:52:13,hasanabi ,thefreakypapi,KEKW,kekw
2023-01-29 00:52:13,hasanabi ,ilovemusic1995,KEKW,kekw
2023-01-29 00:52:14,hasanabi ,koidax_,KEKW,kekw
2023-01-29 00:52:15,hasanabi ,defell,KEKW WE DO,kekw
2023-01-29 00:52:18,hasanabi ,bathtubenjoyer,KEKW,kekw
2023-01-29 00:52:57,hasanabi ,xjayayewhy,KEKW,kekw
2023-01-29 00:53:46,hasanabi ,antoniusjd,KEKW,kekw
2023-01-29 00:53:49,hasanabi ,physicalsquid93,KEKW,kekw
2023-01-29 00:53:59,hasanabi ,kabukironin,KEKW,kekw
2023-01-29 00:54:21,hasanabi ,michiskippy,SAME KEKW,kekw
2023-01-29 00:54:30,hasanabi ,austrom,KEKW,kekw
2023-01-29 00:54:36,hasanabi ,zotarotv,KEKW,kekw
2023-01-29 00:54:37,hasanabi ,justin187xx,KEKW,kekw
2023-01-29 00:54:37,hasanabi ,fernandololqq,KEKW,kekw
2023-01-29 00:54:38,hasanabi ,rhivka,KEKW,kekw
2023-01-29 00:54:39,hasanabi ,triciapaytas,kekw,kekw
2023-01-29 00:54:39,hasanabi ,captcookiedo,KEKW,kekw
2023-01-29 00:54:39,hasanabi ,reldritch,KEKW,kekw
2023-01-29 00:54:39,hasanabi ,nabiscuits,KEKW,kekw
2023-01-29 00:54:40,hasanabi ,xcrimsonwolfx,KEKW,kekw
2023-01-29 00:54:40,hasanabi ,lizardovrlord,KEKW,kekw
2023-01-29 00:54:42,hasanabi ,duzzyfunlopp,KEKW,kekw
2023-01-29 00:54:42,hasanabi ,howaboutjacob,KEKW,kekw
2023-01-29 00:54:42,hasanabi ,ieatwaffles,KEKW,kekw
2023-01-29 00:54:43,hasanabi ,sleepingstitch,KEKW,kekw
2023-01-29 00:54:43,hasanabi ,sagetds,KEKW,kekw
2023-01-29 00:54:44,hasanabi ,plaguey_20,KEKW,kekw
2023-01-29 00:54:46,hasanabi ,oglocdr3w,KEKW,kekw
2023-01-29 00:54:46,hasanabi ,lartsii,KEKW,kekw
2023-01-29 00:54:46,hasanabi ,hzmeis,KEKW,kekw
2023-01-29 00:54:47,hasanabi ,sh4dge,KEKW,kekw
2023-01-29 00:54:47,hasanabi ,tannedmidget69,KEKW,kekw
2023-01-29 00:54:47,hasanabi ,ed_the_human,KEKW,kekw
2023-01-29 00:54:47,hasanabi ,b0ssguy300,KEKW,kekw
2023-01-29 00:54:48,hasanabi ,atlaz_309,KEKW,kekw
2023-01-29 00:54:48,hasanabi ,noabestie,KEKW,kekw
2023-01-29 00:54:48,hasanabi ,mushroll,KEKW,kekw
2023-01-29 00:54:48,hasanabi ,ridiculouslyriley,KEKW,kekw
2023-01-29 00:54:48,hasanabi ,hugegamer96,KEKW,kekw
2023-01-29 00:54:51,hasanabi ,hizenkeren,KEKW,kekw
2023-01-29 00:54:51,hasanabi ,sussysocdem,KEKW,kekw
2023-01-29 00:54:51,hasanabi ,bagelsandloadedlox,KEKW,kekw
2023-01-29 00:54:51,hasanabi ,lukethellama,KEKW,kekw
2023-01-29 00:54:51,hasanabi ,jefevergas,KEKW KEKW,kekw
2023-01-29 00:54:51,hasanabi ,skycomet00,KEKW,kekw
2023-01-29 00:54:54,hasanabi ,m4gic_al,KEKW,kekw
2023-01-29 00:54:56,hasanabi ,neri_plebmumu1,KEKW,kekw
2023-01-29 00:54:58,hasanabi ,luvneptune,KEKW,kekw
2023-01-29 00:54:58,hasanabi ,tapcrush,KEKW,kekw
2023-01-29 00:54:58,hasanabi ,lf_spitfire,KEKW,kekw
2023-01-29 00:54:59,hasanabi ,subbyvamps,KEKW,kekw
2023-01-29 00:54:59,hasanabi ,lobaritmo,KEKW,kekw
2023-01-29 00:55:01,hasanabi ,shadow_hunter194,KEKW,kekw
2023-01-29 00:55:04,hasanabi ,evarouge31,KEKW,kekw
2023-01-29 00:55:04,hasanabi ,nar1yy,KEKW,kekw
2023-01-29 00:55:05,hasanabi ,kabukironin,KEKW,kekw
2023-01-29 00:55:08,hasanabi ,lazytoaster13,KEKW,kekw
2023-01-29 00:55:16,hasanabi ,crimsoncraker1,KEKW,kekw
2023-01-29 00:55:19,hasanabi ,daniartemis,KEKW,kekw
2023-01-29 00:55:22,hasanabi ,ignotos,KEKW,kekw
2023-01-29 00:55:22,hasanabi ,starkronin,KEKW,kekw
2023-01-29 00:55:23,hasanabi ,seeayy,KEKW,kekw
2023-01-29 00:55:24,hasanabi ,mak3k,KEKW,kekw
2023-01-29 00:55:24,hasanabi ,braynyacmk1,KEKW,kekw
2023-01-29 00:55:24,hasanabi ,ieatwaffles,KEKW,kekw
2023-01-29 00:55:25,hasanabi ,dako_i,KEKW,kekw
2023-01-29 00:55:26,hasanabi ,buttercloud,KEKW,kekw
2023-01-29 00:55:27,hasanabi ,jasisnothere,KEKW,kekw
2023-01-29 00:55:28,hasanabi ,thefreakypapi,KEKW,kekw
2023-01-29 00:55:29,hasanabi ,tami_tom,KEKW,kekw
