Date,Channel,Username,Message,Tag_owner,Cleanest_message
2023-01-29 00:28:44,xqc ,instant_win,p good,0,good
2023-01-29 00:28:44,xqc ,paiman8,nice,0,nice
2023-01-29 00:28:44,xqc ,jdfritzle1,CaughtIn4k cheating 󠀀,0,cheat
2023-01-29 00:28:44,xqc ,aduckthatrawrs,forsenCD W DRAWING / CHEATER forsenCD W DRAWING / CHEATER forsenCD W DRAWING / CHEATER forsenCD W DRAWING / CHEATER,0,cheater
2023-01-29 00:28:45,xqc ,mrbahur11,actual nice drawing,0,nice
2023-01-29 00:28:45,xqc ,nobo_a,forsenCD nice,0,nice
2023-01-29 00:28:45,xqc ,granoleb,forsenCD  thumbs_up looks good to me,0,good
2023-01-29 00:28:46,xqc ,survivedthislong,you can't cheat this isn't a game,0,cheat
2023-01-29 00:28:46,xqc ,parangchamp,AINTNOWAY SMALL ASS ARMS,0,ass
2023-01-29 00:28:46,xqc ,cremesavor,EZ,0,EZ
2023-01-29 00:28:47,xqc ,aduckthatrawrs,forsenCD W DRAWING / CHEATERforsenCD W DRAWING / CHEATERforsenCD W DRAWING / CHEATERforsenCD W DRAWING / CHEATER,0,cheater
2023-01-29 00:28:47,xqc ,vicarun,forsenCD :victory_hand: JUST A LIL HINT,0,:victory_hand:
2023-01-29 00:28:48,xqc ,n2s1,CHICKEN WING HANDS LUL,0,hand LUL
2023-01-29 00:28:48,xqc ,instant_win,not bad LOL,0,bad lol
2023-01-29 00:28:48,xqc ,styled_,ermm no words allowed EARTHQUAKE,0,allow
2023-01-29 00:28:48,xqc ,iidacerii,OMEGALUL OMEGALUL,0,OMEGALUL
2023-01-29 00:28:48,xqc ,wally___rn,CHICKENBONE HANDS OMEGALUL CHICKENBONE HANDS OMEGALUL,0,hand OMEGALUL
2023-01-29 00:28:48,xqc ,frankstreamshere,ACTUALLY GOOD,0,good
2023-01-29 00:28:48,xqc ,queechie,LULW SO DEEP,0,LULW
2023-01-29 00:28:49,xqc ,hydjiro,LUL,0,LUL
2023-01-29 00:28:49,xqc ,breezy_ong,L words cheating azz,0,i cheat
2023-01-29 00:28:49,xqc ,spac3ships,p good,0,good
2023-01-29 00:28:49,xqc ,forsen_is_the_godgamer,LMFAOO WTF LMFAOO WTF LMFAOO WTF LMFAOO WTF LMFAOO WTF LMFAOO WTF LMFAOO WTF LMFAOO WTF LMFAOO WTF,0,wif
2023-01-29 00:28:50,xqc ,legitsxd,:p 󠀀,0,up
2023-01-29 00:28:50,xqc ,ghostcreeper_,its fine,0,fine
2023-01-29 00:28:50,xqc ,naruto_asta_xqcl,PogU,0,PogU
2023-01-29 00:28:51,xqc ,molisavevo,"adorable drawing, gj xqc",0,go
2023-01-29 00:28:55,xqc ,jdel,what are those OMEGALUL,0,OMEGALUL
2023-01-29 00:28:55,xqc ,g_sior,forsenCD Well done,0,well
2023-01-29 00:28:55,xqc ,supahottv,"forsenCD write ""ninja dies from ligma""",0,die
2023-01-29 00:28:55,xqc ,slimymelon,PogU,0,PogU
2023-01-29 00:28:55,xqc ,gravadolive,PogU,0,PogU
2023-01-29 00:28:55,xqc ,happytoaster_,-100 OMEGALUL,0,OMEGALUL
2023-01-29 00:28:55,xqc ,airsxo,he wants the top,0,want top
2023-01-29 00:28:55,xqc ,glibwizard,-100 OMEGALUL,0,OMEGALUL
2023-01-29 00:28:55,xqc ,larru_,-100 OMEGALUL,0,OMEGALUL
2023-01-29 00:28:55,xqc ,vedxdd,WAYTOODANK,0,WAYTOODANK
2023-01-29 00:28:55,xqc ,esattt,"xqcMood megaphone recycling_symbol yooo you didnt have to donate anything man thanks for the 100 stones just you being here is enough, i dont deserve that at all much love dud",0,thank love dud
2023-01-29 00:28:55,xqc ,mysticx666,nice,0,nice
2023-01-29 00:28:55,xqc ,leonnn_99,-100 LULW,0,LULW
2023-01-29 00:28:55,xqc ,mr_knaz,cheat,0,cheat
2023-01-29 00:28:55,xqc ,hugedicapriofan,That's actually really good,0,good
2023-01-29 00:28:55,xqc ,vaakku15,forsenCD NICE,0,nice
2023-01-29 00:28:55,xqc ,salvationdota,-100 LULW,0,LULW
2023-01-29 00:28:55,xqc ,cscuff,-100 LULW,0,LULW
2023-01-29 00:28:55,xqc ,tappymonster,-$100 LuL,0,lug
2023-01-29 00:28:55,xqc ,happytoaster_,-100 OMEGALUL,0,OMEGALUL
2023-01-29 00:28:55,xqc ,andreashans,-100 LULW,0,LULW
2023-01-29 00:28:55,xqc ,stoicbliss,WAYTOODANK,0,WAYTOODANK
2023-01-29 00:28:55,xqc ,mrknowntaco,PogU,0,PogU
2023-01-29 00:28:55,xqc ,amish_woops,PogU,0,PogU
2023-01-29 00:28:55,xqc ,hyundaisunday,-100 LULW,0,LULW
2023-01-29 00:28:55,xqc ,bumzoid,-100 LULW,0,LULW
2023-01-29 00:28:55,xqc ,hasuuuzz,-100 LULW,0,LULW
2023-01-29 00:28:55,xqc ,theriperhs,-100 LULW,0,LULW
2023-01-29 00:28:55,xqc ,bergun99,-100 OMEGALUL,0,OMEGALUL
2023-01-29 00:28:55,xqc ,walteret,-100 LULW,0,LULW
2023-01-29 00:28:56,xqc ,kurt799,-100$ LULW,0,LULW
2023-01-29 00:28:56,xqc ,xscire,-100  LULW,0,LULW
2023-01-29 00:28:56,xqc ,blkwh,-100 LULW,0,LULW
2023-01-29 00:28:56,xqc ,hfrrh,LULW -100,0,LULW
2023-01-29 00:28:56,xqc ,tempeil,LuL -100,0,lug
2023-01-29 00:28:56,xqc ,dieharts,LULW -100,0,LULW
2023-01-29 00:28:56,xqc ,notparadox__,-100  LuL,0,lug
2023-01-29 00:28:56,xqc ,kanjak1,LULW -100,0,LULW
2023-01-29 00:28:56,xqc ,tyrantglade,-100 LULW,0,LULW
2023-01-29 00:28:56,xqc ,forsen_is_the_godgamer,LMFAOO WTF,0,wif
2023-01-29 00:28:56,xqc ,ninchiito,-100 LULW,0,LULW
2023-01-29 00:28:56,xqc ,roxnr,-100  LULW,0,LULW
2023-01-29 00:28:56,xqc ,electronicblade,-100  OMEGALUL,0,OMEGALUL
2023-01-29 00:28:56,xqc ,disc0potato,-100 LULW,0,LULW
2023-01-29 00:28:56,xqc ,sykkira,-100 OMEGALUL,0,OMEGALUL
2023-01-29 00:28:56,xqc ,legitsxd,-100 LULW,0,LULW
2023-01-29 00:28:59,xqc ,fleerz666,-100 LULW,0,LULW
2023-01-29 00:28:59,xqc ,orrzyy_,-100 LULW,0,LULW
2023-01-29 00:28:59,xqc ,m_orph,-100 OMEGALUL,0,OMEGALUL
2023-01-29 00:28:59,xqc ,talkenwo,-100 LULW,0,LULW
2023-01-29 00:28:59,xqc ,compassionatepenny,-100 LULW,0,LULW
2023-01-29 00:28:59,xqc ,osjammer,-100 LULW,0,LULW
2023-01-29 00:28:59,xqc ,konobangumiwagorannospons,-100 LULW,0,LULW
2023-01-29 00:28:59,xqc ,disc0potato,-100  LULW,0,LULW
2023-01-29 00:28:59,xqc ,seyemonz,-100 OMEGALUL,0,OMEGALUL
2023-01-29 00:28:59,xqc ,skeletontm,-100 LULW,0,LULW
2023-01-29 00:28:59,xqc ,t8taylor__,-100 LULW,0,LULW
2023-01-29 00:28:59,xqc ,iamantplayz,-100 lol,0,lol
2023-01-29 00:28:59,xqc ,crowbqrr,-100 LULW,0,LULW
2023-01-29 00:28:59,xqc ,dawgwalter_hwite,PogU -100,0,PogU
2023-01-29 00:28:59,xqc ,tuxsmh,-100 LULW,0,LULW
2023-01-29 00:28:59,xqc ,droave,-100 LULW,0,LULW
2023-01-29 00:28:59,xqc ,unknownonionring,LULW -100,0,LULW
2023-01-29 00:28:59,xqc ,koryklap,LULW -100,0,LULW
2023-01-29 00:28:59,xqc ,vaakku15,LULW -100,0,LULW
2023-01-29 00:28:59,xqc ,hairtohell,-100 OMEGALUL,0,OMEGALUL
2023-01-29 00:29:00,xqc ,fossabot,xqcL mergeng01 just joined the jungle using Prime! xqcL Thanks so much for subbing xqcL And supporting the stream! xqcL,0,join thank support
2023-01-29 00:29:01,xqc ,niklas0287,LULW -100,0,LULW
2023-01-29 00:29:01,xqc ,ylopei,LULW -100,0,LULW
2023-01-29 00:29:01,xqc ,arenamazters,-100 LULW,0,LULW
2023-01-29 00:29:01,xqc ,doyoulikepina,PogU,0,PogU
2023-01-29 00:29:01,xqc ,thunderwasme,-100 lulw,0,lull
2023-01-29 00:29:02,xqc ,ninosaur,evil house,0,evil
