Data,Channel,Username,OriginalMessage,Message
2023-01-28 21:45:22,nmplol ,lonelysnek,lmao,lmao
2023-01-28 21:45:23,nmplol ,yamyulackk,LMAO,lmao
2023-01-28 21:46:13,nmplol ,retromuze,LMAO,lmao
2023-01-28 21:47:28,nmplol ,kekkeri59,lmao,lmao
2023-01-28 21:52:36,nmplol ,syphor03,lmao,lmao
2023-01-28 21:53:10,nmplol ,al_toids,LMAO,lmao
2023-01-28 21:54:26,nmplol ,night_knight_13,LMAO,lmao
2023-01-28 21:30:58,nmplol ,corkscrewd,lol,lol
2023-01-28 21:32:19,nmplol ,theeragonn555,LOL,lol
2023-01-28 21:33:07,nmplol ,corkscrewd,lol,lol
2023-01-28 21:33:38,nmplol ,corkscrewd,lol,lol
2023-01-28 21:33:57,nmplol ,shoegazee,LOL,lol
2023-01-28 21:34:21,nmplol ,lazylukey,LOL,lol
2023-01-28 21:34:32,nmplol ,minxthepurpledinosaur,lol,lol
2023-01-28 21:34:35,nmplol ,pickled_comrade,LOL,lol
2023-01-28 21:34:52,nmplol ,agamy2k,lol,lol
2023-01-28 21:35:35,nmplol ,f1nk1tyy,LOL,lol
2023-01-28 21:36:02,nmplol ,camvsgame,LOL,lol
2023-01-28 21:36:16,nmplol ,shoegazee,LOL,lol
2023-01-28 21:36:22,nmplol ,cptnmagyar,LOL,lol
2023-01-28 21:36:45,nmplol ,corkscrewd,lol,lol
2023-01-28 21:37:11,nmplol ,slickcriminal,LOL,lol
2023-01-28 21:37:21,nmplol ,cptnmagyar,LOL,lol
2023-01-28 21:38:46,nmplol ,the_end_is_beer,lol,lol
2023-01-28 21:39:06,nmplol ,ibbspider,lol,lol
2023-01-28 21:39:22,nmplol ,albrownn,lol,lol
2023-01-28 21:39:28,nmplol ,corkscrewd,lol,lol
2023-01-28 21:39:36,nmplol ,kradobes,lol,lol
2023-01-28 21:40:08,nmplol ,ryangotrip,Lol,lol
2023-01-28 21:40:09,nmplol ,fgrizzly24k,Lol,lol
2023-01-28 21:40:10,nmplol ,cptnmagyar,LOL,lol
2023-01-28 21:40:45,nmplol ,jenn_ava,lol,lol
2023-01-28 21:40:52,nmplol ,kentaro777,LOL,lol
2023-01-28 21:40:53,nmplol ,corkscrewd,lol,lol
2023-01-28 21:40:59,nmplol ,danman_710,lol,lol
2023-01-28 21:41:09,nmplol ,demesta1,LOL,lol
2023-01-28 21:41:13,nmplol ,corkscrewd,LOL,lol
2023-01-28 21:41:22,nmplol ,jackmabbit,lol,lol
2023-01-28 21:41:44,nmplol ,kentaro777,LOL,lol
2023-01-28 21:41:55,nmplol ,tetsuthefool,LOL,lol
2023-01-28 21:43:50,nmplol ,burtramp,LOL,lol
2023-01-28 21:43:54,nmplol ,bugmofo,LOL,lol
2023-01-28 21:43:57,nmplol ,kentaro777,LOL,lol
2023-01-28 21:44:07,nmplol ,lirigina,lol,lol
2023-01-28 21:44:37,nmplol ,minxthepurpledinosaur,lol,lol
2023-01-28 21:45:11,nmplol ,husalah_99,Lol,lol
2023-01-28 21:45:11,nmplol ,were_all_mad_here_1865,LOL,lol
2023-01-28 21:45:41,nmplol ,burtramp,LOL,lol
2023-01-28 21:45:56,nmplol ,camvsgame,LOL,lol
2023-01-28 21:46:01,nmplol ,kentaro777,LOL,lol
2023-01-28 21:46:03,nmplol ,burtramp,lol,lol
2023-01-28 21:46:06,nmplol ,nrthrn_lghts_,LOL,lol
2023-01-28 21:46:09,nmplol ,lirigina,lol,lol
2023-01-28 21:46:09,nmplol ,whistlingdeath,lol,lol
2023-01-28 21:46:12,nmplol ,moontuned,lol,lol
2023-01-28 21:46:51,nmplol ,lirigina,lol,lol
2023-01-28 21:47:01,nmplol ,candycups,lol,lol
2023-01-28 21:48:35,nmplol ,andruisthegamer,No lol,lol
2023-01-28 21:48:54,nmplol ,kentaro777,LOL,lol
2023-01-28 21:49:39,nmplol ,corkscrewd,lol,lol
2023-01-28 21:49:59,nmplol ,o_empress,lol,lol
2023-01-28 21:51:50,nmplol ,mungaloo,lol,lol
2023-01-28 21:51:56,nmplol ,leialickedmymonitor,Lol,lol
2023-01-28 21:52:47,nmplol ,candycups,lol,lol
2023-01-28 21:52:56,nmplol ,kentaro777,LOL,lol
2023-01-28 21:54:07,nmplol ,minxthepurpledinosaur,lol,lol
2023-01-28 21:54:08,nmplol ,lirigina,lol,lol
2023-01-28 21:54:08,nmplol ,mightyjaime,Lol,lol
2023-01-28 21:54:18,nmplol ,futsunoningen,lol,lol
2023-01-28 21:54:20,nmplol ,nrthrn_lghts_,LOL,lol
2023-01-28 21:30:58,nmplol ,megapog2,PogO,pogo
2023-01-28 21:32:45,nmplol ,lmaoafterlight,PogO,pogo
2023-01-28 21:35:31,nmplol ,lilithnyxl,PogO,pogo
2023-01-28 21:37:01,nmplol ,rumsmokerr,PogO,pogo
2023-01-28 21:37:01,nmplol ,bader0419,PogO,pogo
2023-01-28 21:37:02,nmplol ,benthejoe,PogO,pogo
2023-01-28 21:37:03,nmplol ,hipster_doofuss,PogO,pogo
2023-01-28 21:37:08,nmplol ,slayerzsc,PogO,pogo
2023-01-28 21:39:31,nmplol ,kottasha,PogO,pogo
2023-01-28 21:39:32,nmplol ,harleyj,PogO,pogo
2023-01-28 21:39:34,nmplol ,skinerch,PogO,pogo
2023-01-28 21:39:35,nmplol ,aydin________,PogO,pogo
2023-01-28 21:39:35,nmplol ,dreadheadmorton,PogO,pogo
2023-01-28 21:39:36,nmplol ,butterbubb,PogO,pogo
2023-01-28 21:39:40,nmplol ,husby123,PogO,pogo
2023-01-28 21:40:03,nmplol ,cringenuity,PogO,pogo
2023-01-28 21:40:05,nmplol ,rumsmokerr,PogO,pogo
2023-01-28 21:40:05,nmplol ,skinerch,PogO,pogo
2023-01-28 21:40:05,nmplol ,kentaro777,PogO,pogo
2023-01-28 21:40:06,nmplol ,kendrandi,PogO,pogo
2023-01-28 21:40:06,nmplol ,jerrybear_,PogO,pogo
2023-01-28 21:40:06,nmplol ,marq5,PogO,pogo
2023-01-28 21:40:06,nmplol ,king_jeremy_the_wicked,PogO,pogo
2023-01-28 21:40:07,nmplol ,lorddikusmaximus,PogO,pogo
2023-01-28 21:40:08,nmplol ,mybhomie,PogO,pogo
2023-01-28 21:40:09,nmplol ,hrafnagut,PogO,pogo
2023-01-28 21:40:11,nmplol ,justhavingfun13,PogO,pogo
2023-01-28 21:40:12,nmplol ,cer0oo,PogO,pogo
2023-01-28 21:40:13,nmplol ,marlsweetie,PogO,pogo
2023-01-28 21:40:15,nmplol ,ligma_male420,PogO,pogo
2023-01-28 21:40:18,nmplol ,malcolmyoo,pogO,pogo
2023-01-28 21:40:47,nmplol ,cringenuity,PogO,pogo
2023-01-28 21:41:53,nmplol ,businesschipmunks,PogO,pogo
2023-01-28 21:41:53,nmplol ,itsneyon,PogO,pogo
2023-01-28 21:41:55,nmplol ,daweeb_,PogO,pogo
2023-01-28 21:48:31,nmplol ,armani212,PogO,pogo
2023-01-28 21:48:54,nmplol ,0r4ng3ns4ft_,PogO,pogo
2023-01-28 21:49:40,nmplol ,johnaudih,PogO,pogo
2023-01-28 21:51:11,nmplol ,kendrandi,PogO,pogo
2023-01-28 21:51:15,nmplol ,stemster,PogO,pogo
2023-01-28 21:51:16,nmplol ,a_2the_ustin,PogO,pogo
2023-01-28 21:52:58,nmplol ,deadmonkey116,PogO,pogo
2023-01-28 21:53:00,nmplol ,reddove33,PogO,pogo
2023-01-28 21:53:01,nmplol ,leagueenj0yer,PogO,pogo
2023-01-28 21:53:04,nmplol ,yubiokinyua,PogO,pogo
2023-01-28 21:53:05,nmplol ,elleisinblue,PogO,pogo
2023-01-28 21:31:01,nmplol ,cherryydelightt,????????/,????????/
2023-01-28 21:31:03,nmplol ,honkysachmo,nmpChoke,nmpchoke
2023-01-28 21:31:07,nmplol ,eaater,nmpFeet,nmpfeet
2023-01-28 21:31:14,nmplol ,mmillz47,hes smarter than you,smarter
2023-01-28 21:31:16,nmplol ,raddddish,stopbeingMean,stopbeingmean
2023-01-28 21:36:17,nmplol ,cobaltclaudia,stopBeingMean,stopbeingmean
2023-01-28 21:31:16,nmplol ,venturejk,COCKA,cocka
2023-01-28 21:31:19,nmplol ,jebayter,COCKA,cocka
2023-01-28 21:32:02,nmplol ,fleymour,COCKA,cocka
2023-01-28 21:32:05,nmplol ,rhoetuz,COCKA,cocka
2023-01-28 21:32:12,nmplol ,shiverspawn,COCKA COCKA COCKA,cocka
2023-01-28 21:32:25,nmplol ,pizzabeach,COCKA,cocka
2023-01-28 21:32:26,nmplol ,slide1,COCKA,cocka
2023-01-28 21:32:33,nmplol ,sirchalz,COCKA,cocka
2023-01-28 21:32:33,nmplol ,kentaro777,COCKA,cocka
2023-01-28 21:32:34,nmplol ,bluerapido1,COCKA,cocka
2023-01-28 21:32:35,nmplol ,sirjameseu,COCKA,cocka
2023-01-28 21:32:38,nmplol ,jdolo8,COCKA,cocka
2023-01-28 21:37:05,nmplol ,freeslurpeeday,COCKA,cocka
2023-01-28 21:47:05,nmplol ,jerrybear_,COCKA,cocka
2023-01-28 21:47:20,nmplol ,shiverspawn,COCKA,cocka
2023-01-28 21:31:16,nmplol ,kradobes,buddyL,buddyl
2023-01-28 21:31:17,nmplol ,wonderboom123,FeelsBuddyMan,feelsbuddyman
2023-01-28 21:31:18,nmplol ,mxgeneration,DankTalk,danktalk
2023-01-28 21:31:19,nmplol ,desuyooo,elisSit,elissit
2023-01-28 21:31:23,nmplol ,twigsterman,omE,ome
2023-01-28 21:31:27,nmplol ,nrthrn_lghts_,omE,ome
2023-01-28 21:34:24,nmplol ,yryoussef11,omE,ome
2023-01-28 21:34:31,nmplol ,weshout,omE,ome
2023-01-28 21:36:32,nmplol ,nrthrn_lghts_,omE,ome
