Date,Channel,Username,Message,Tag_owner,Cleanest_message
2023-01-28 23:56:16,denims ,jackburtonbt,@ArchReaper7 why are you in this chat then? everyone saying you and the 1 other chatter saying the same dumb shit is wrong. good luck in your life,0,dumb shit good luck
2023-01-28 23:56:20,denims ,obrigaah,@NavAK4Seven you are not even banned KEKL,0,ban
2023-01-28 23:56:27,denims ,veggietableh,God this chatter is so stupid its amazing,0,god stupid
2023-01-28 23:56:30,denims ,fireflowergoddess,Aren't there ppl who have been banned for over a year with indef ban?,0,ban
2023-01-28 23:56:32,denims ,kxo72,@NavAK4Seven you partly grew up in a country where you lived with people who were way more ethnically similar to you. also you can't speak on the black experience on black people in America or the rest of the west. respectfully stfu,0,respect
2023-01-28 23:56:33,denims ,jawnbedge,"@NavAK4Seven Your ""friends"" at best tolerate you",0,best
2023-01-28 23:56:33,denims ,satchmobronson,@veggietableh lol,0,lol
2023-01-28 23:56:34,denims ,starywars,"It ain't racist, but you really can't tell people to kiss themselves",0,kiss
2023-01-28 23:56:36,denims ,jiff_d,@fusion_x why did erobb get banned,0,ban
2023-01-28 23:56:40,denims ,voodoo_in_witchspace,if you think its a racist rant its because you are a whiney little bitchboy racist peepoSmile,0,racist rant whiney
2023-01-28 23:56:43,denims ,lilbrownied,"that chatter has a kink, yall.",0,ha
2023-01-28 23:56:49,denims ,whykillbeep,c word D:,0,D:
2023-01-28 23:56:58,denims ,jackburtonbt,@veggietableh oh wow everyone hear that! this dude has never experiance oppression! therefore it doesnt exist!,0,wow ha
2023-01-28 23:56:59,denims ,thandrea_20,"@NavAK4Seven, YOU ARE NOT COOKING SHIT BRO OMEGADANCE",0,shit
2023-01-28 23:57:02,denims ,dean021,"@veggietableh I used to think that, and then realized I would get in trouble growing up without offending as much as my white peers.",0,offend
2023-01-28 23:57:03,denims ,lilijil,@jamesdm yeah I got you now & you right lmao it's just hard to not @ dickheads sometimes when they talk out their ass,0,yeah lao hard dickhead ass
2023-01-28 23:57:05,denims ,fireflowergoddess,Racism is a systemic reality,0,racism
2023-01-28 23:57:06,denims ,fusion_x,"@Jiff_D Erobb told a community member in an offline chat he was gonna beat them at TwitchCon, except it was a meme in his community and not serious but Twitch took it seriously",0,serious
2023-01-28 23:57:08,denims ,anxiousdumpling,@navak4seven why are you having conversations with yourself in a twitch chat lmao it's so sad,0,lao sad
2023-01-28 23:57:09,denims ,meinekemanr6,"It’s interpersonal racism, just not that harmful",0,harm
2023-01-28 23:57:12,denims ,definitelynotdusto,yt ppl smell like mayonaise,0,like
2023-01-28 23:57:12,denims ,oiled_pebbles,cmonnn us crackers are blatantly winning in a broken system and people still think we’re opressed OMEGALUL,0,win broken OMEGALUL
2023-01-28 23:57:12,denims ,fson_,twitch has a very different opinion on the c word tho,0,ha
2023-01-28 23:57:12,denims ,grzlyp1,@NavAK4Seven YOU COOKING DICK MEAT STEW,0,dick
2023-01-28 23:57:14,denims ,veggietableh,@NavAK4Seven You've never experienced any kind of racism or struggle for being brown? You haven't been accosted by TSA? You haven't been hassled for being an A-rab? None of your friends or family has experienced any racism?,0,kind racism friend ha
2023-01-28 23:57:15,denims ,kxo72,racism is also interpersonal. but its more so systemic,0,racism
2023-01-28 23:57:15,denims ,absyn__,@ThAndrea_20 he's just ban fishing,0,ban
2023-01-28 23:57:16,denims ,navak4seven,I've never experienced racism in America and i'm a Middle Eastern brown guy who grew up in Texas @Denims,0,racism
2023-01-28 23:57:16,denims ,pkpokeman,"As a white man there is no way this was racist at all, you cannot be racist in any meaningful way to the group that is ""in power"" in one way or another, it is just ridiculous reactionary shit",0,racist shit
2023-01-28 23:57:18,denims ,bigmano23,no hes not hes talking about destiny a youtube streamer and racist viewers @Denims,0,racist
2023-01-28 23:57:18,denims ,astromias,YEP,0,yep
2023-01-28 23:57:19,denims ,fellini_fiend,@thandrea_20 they cooking with mayo and it’s disgusting,0,disgust
2023-01-28 23:57:22,denims ,vision_of_elsewhere,PepeLa D deserves a perma for racism,0,racism
2023-01-28 23:57:22,denims ,starbuckswitch,YEP,0,yep
2023-01-28 23:57:23,denims ,thesparrow_gray,@denims they literally did the same thing to a gta rp stream when she was being harassed by a person pretending to be hittler,0,harass pretend
2023-01-28 23:57:25,denims ,chrig666,@NavAK4Seven white man pretends to be poc,0,pretend
2023-01-28 23:57:26,denims ,overshotlyric,YEP,0,yep
2023-01-28 23:57:34,denims ,veggietableh,@NavAK4Seven oh so you're just lying LMFAO,0,lao
2023-01-28 23:57:34,denims ,scare_crow_n,@NavAK4Seven nobody cares KEKW,0,care
